Acura;MDX;6;265;17;23;4451;106;1997;19
Acura;RSX Type S 2dr;4;200;24;31;2778;101;1998;12000
Acura;TSX 4dr;4;200;22;29;3230;105;1999;23983
Acura;TL 4dr;6;270;20;28;3575;108;2000;35968
Acura;3.5 RL 4dr;6;225;18;24;3880;115;2001;47955
Acura;3.5 RL w/Navigation 4dr;6;225;18;24;3893;115;2002;59944
Acura;NSX coupe 2dr manual S;6;290;17;24;3153;100;2003;71935
Audi;A4 1.8T 4dr;4;170;22;31;3252;104;2004;83928
Audi;A41.8T convertible 2dr;4;170;23;30;3638;105;2005;95923
Audi;A4 3.0 4dr;6;220;20;28;3462;104;2006;19
Audi;A4 3.0 Quattro 4dr manual;6;220;17;26;3583;104;2007;12009
Audi;A4 3.0 Quattro 4dr auto;6;220;18;25;3627;104;2008;24001
Audi;A6 3.0 4dr;6;220;20;27;3561;109;2009;35995
Audi;A6 3.0 Quattro 4dr;6;220;18;25;3880;109;2010;47991
Audi;A4 3.0 convertible 2dr;6;220;20;27;3814;105;2011;59989
Audi;A4 3.0 Quattro convertible 2dr;6;220;18;25;4013;105;2012;71989
Audi;A6 2.7 Turbo Quattro 4dr;6;250;18;25;3836;109;2013;83991
Audi;A6 4.2 Quattro 4dr;8;300;17;24;4024;109;2014;95995
Audi;A8 L Quattro 4dr;8;330;17;24;4399;121;2015;19
Audi;S4 Quattro 4dr;8;340;14;20;3825;104;2016;12018
Audi;RS 6 4dr;8;450;15;22;4024;109;1977;24019
Audi;TT 1.8 convertible 2dr (coupe);4;180;20;28;3131;95;1978;36022
Audi;TT 1.8 Quattro 2dr (convertible);4;225;20;28;2921;96;1979;48027
Audi;TT 3.2 coupe 2dr (convertible);6;250;21;29;3351;96;1980;60034
Audi;A6 3.0 Avant Quattro;6;220;18;25;4035;109;1981;72043
Audi;S4 Avant Quattro;8;340;15;21;3936;104;1982;84054
BMW;X3 3.0i;6;225;16;23;4023;110;1983;96067
BMW;X5 4.4i;8;325;16;22;4824;111;1984;19
BMW;325i 4dr;6;184;20;29;3219;107;1985;12027
BMW;325Ci 2dr;6;184;20;29;3197;107;1986;24037
BMW;325Ci convertible 2dr;6;184;19;27;3560;107;1987;36049
BMW;325xi 4dr;6;184;19;27;3461;107;1988;48063
BMW;330i 4dr;6;225;20;30;3285;107;1989;60079
BMW;330Ci 2dr;6;225;20;30;3285;107;1990;72097
BMW;330xi 4dr;6;225;20;29;3483;107;1991;84117
BMW;525i 4dr;6;184;19;28;3428;114;1992;96139
BMW;330Ci convertible 2dr;6;225;19;28;3616;107;1993;19
BMW;530i 4dr;6;225;20;30;3472;114;1994;12036
BMW;545iA 4dr;8;325;18;26;3814;114;1995;24055
BMW;745i 4dr;8;325;18;26;4376;118;1996;36076
BMW;745Li 4dr;8;325;18;26;4464;123;1997;48099
BMW;M3 coupe 2dr;6;333;16;24;3415;108;1998;60124
BMW;M3 convertible 2dr;6;333;16;23;3781;108;1999;72151
BMW;Z4 convertible 2.5i 2dr;6;184;20;28;2932;98;2000;84180
BMW;Z4 convertible 3.0i 2dr;6;225;21;29;2998;98;2001;96211
BMW;325xi Sport;6;184;19;26;3594;107;2002;19
Buick;Rainier;6;275;15;21;4600;113;2003;12045
Buick;Rendezvous CX;6;185;19;26;4024;112;2004;24073
Buick;Century Custom 4dr;6;175;20;30;3353;109;2005;36103
Buick;LeSabre Custom 4dr;6;205;20;29;3567;112;2006;48135
Buick;Regal LS 4dr;6;200;20;30;3461;109;2007;60169
Buick;Regal GS 4dr;6;240;18;28;3536;109;2008;72205
Buick;LeSabre Limited 4dr;6;205;20;29;3591;112;2009;84243
Buick;Park Avenue 4dr;6;205;20;29;3778;114;2010;96283
Buick;Park Avenue Ultra 4dr;6;240;18;28;3909;114;2011;19
Cadillac;Escalade;8;295;14;18;5367;116;2012;12054
Cadillac;SRX V8;8;320;16;21;4302;116;2013;24091
Cadillac;CTS VVT 4dr;6;255;18;25;3694;113;2014;36130
Cadillac;Deville 4dr;8;275;18;26;3984;115;2015;48171
Cadillac;Deville DTS 4dr;8;300;18;26;4044;115;2016;60214
